,id,type of property,subtype of property,locality,latitude,longitude,street,postalCode,price,type of sale,number of bedrooms,living area,livable area,fully equipped kitchen,furnished,open fire,terrace,terrace area,garden,garden area,total property area,total land area,number of facades,swimming pool,state of the building,Unnamed: 0,Gemeente,Province,Population,Area(km2),Density,kitchen,price per sqr
10755,10743330,HOUSE,VILLA,Berlare,51.0526597,3.9780952,Marktstraat 5,9290,495000,residential_sale,4,38,200.0,usa_hyper_equipped,False,False,True,0.0,False,0.0,200.0,1102.0,4.0,False,just_renovated,668,Berlare,Oost-Vlaanderen,1515064,3007.0,504,,2475.0
10756,10672467,HOUSE,VILLA,Oudenaarde,50.87275,3.6227697,Dokter Honore Dewolfstraat 23,9700,495000,residential_sale,4,60,307.0,0,False,False,True,0.0,True,0.0,307.0,1250.0,4.0,False,to_renovate,689,Oudenaarde,Oost-Vlaanderen,1515064,3007.0,504,,1612.3778501628665
10757,10683919,HOUSE,HOUSE,Uccle,,,Place Brugmann 10B,1180,499000,residential_sale,4,33,138.0,usa_installed,False,False,True,0.0,True,77.0,138.0,190.0,2.0,False,to_renovate,25,Uccle,Brussel,1208542,162.4,7442,Equipped,3615.942028985507
10758,10663022,HOUSE,HOUSE,Geraardsbergen,50.7853726,3.9080062,Dokter Honore Dewolfstraat 23,9500,499000,residential_sale,5,36,349.0,0,False,False,True,0.0,True,0.0,349.0,884.0,3.0,False,as_new,676,Geraardsbergen,Oost-Vlaanderen,1515064,3007.0,504,,1429.7994269340977
10759,10736012,HOUSE,HOUSE,Anderlecht,50.8336453,4.3015978,Chaussée de Gand 331,1070,500000,residential_sale,4,25,250.0,installed,True,False,True,25.0,True,150.0,250.0,268.0,2.0,False,good,10,Anderlecht,Brussel,1208542,162.4,7442,,2000.0
10760,10772072,HOUSE,HOUSE,Genappe,,,Venelle de la réserve 2,1470,500000,residential_sale,3,60,250.0,usa_installed,False,True,True,90.0,True,0.0,250.0,2400.0,2.0,False,as_new,66,Genappe,Brabant wallon,403599,1097.0,368,Equipped,2000.0
10761,10654882,APARTMENT,APARTMENT,Knokke,51.3496524,3.2898276,Dumortierlaan 89,8300,369000,residential_sale,1,0,40.0,0,False,False,False,0.0,False,0.0,40.0,0.0,2.0,False,as_new,569,Knokke-Heist,West-Vlaanderen,1344241,3813.0,353,,9225.0
10762,10780233,APARTMENT,PENTHOUSE,Brugge,51.2045319,3.2470964,Baron Ruzettelaan 411/01,8310,369000,residential_sale,3,0,109.0,0,False,False,False,0.0,True,0.0,109.0,0.0,2.0,False,good,2483,Brugge,West-Vlaanderen,1344241,3813.0,353,,3385.321100917431
10763,10666749,APARTMENT,APARTMENT,Antwerp,,,"Jordaenskaai, 21",2000,370000,residential_sale,2,0,155.0,0,False,False,True,0.0,False,0.0,155.0,0.0,2.0,False,0,111,Antwerpen,Antwerpen,1857986,2876.0,647,,2387.0967741935483
10764,10611125,APARTMENT,APARTMENT,Lievegem,51.1525192,3.6079974,Boelare 67,9950,370000,residential_sale,2,0,125.0,0,False,False,True,0.0,False,0.0,125.0,0.0,2.0,False,0,699,Lievegem,Oost-Vlaanderen,1515064,3007.0,504,,2960.0
10765,10763942,APARTMENT,APARTMENT,Heist-aan-Zee,51.3402672,3.2365181,Zeedijk Heist 273,8301,375000,residential_sale,2,0,70.0,0,False,False,True,0.0,False,0.0,70.0,0.0,2.0,False,as_new,2481,Knokke-Heist,West-Vlaanderen,1344241,3813.0,353,,5357.142857142857
10766,10395062,APARTMENT,APARTMENT,De Haan,51.2672309,3.0326592,Koninklijke baan 36,8420,375000,residential_sale,3,0,140.0,0,False,False,True,0.0,False,0.0,140.0,0.0,0.0,False,as_new,575,De Haan,West-Vlaanderen,1344241,3813.0,353,,2678.5714285714284
10767,8874712,APARTMENT,APARTMENT,Antwerp,,,"Jordaenskaai, 21",2000,385000,residential_sale,2,0,110.0,0,False,False,True,0.0,False,0.0,110.0,0.0,2.0,False,to_be_done_up,111,Antwerpen,Antwerpen,1857986,2876.0,647,,3500.0
10768,10775227,APARTMENT,APARTMENT,Nieuwpoort,,,"Leopold II laan, 102",8620,385000,residential_sale,2,0,98.0,installed,False,False,True,0.0,False,0.0,98.0,0.0,0.0,False,as_new,596,Nieuwpoort,West-Vlaanderen,1344241,3813.0,353,,3928.571428571429
10769,10707074,APARTMENT,APARTMENT,Nieuwpoort,,,Artanlaan 2,8620,385000,residential_sale,2,0,98.0,installed,False,False,True,0.0,False,0.0,98.0,0.0,0.0,False,as_new,596,Nieuwpoort,West-Vlaanderen,1344241,3813.0,353,,3928.571428571429
10770,10763128,APARTMENT,PENTHOUSE,Braine-l'Alleud,,,Rue de l'Infante 123 Bt 1,1420,388500,residential_sale,2,36,117.0,installed,False,False,True,6.0,False,0.0,117.0,0.0,2.0,False,as_new,56,Braine-l'Alleud,Brabant wallon,403599,1097.0,368,,3320.5128205128203
10771,10701925,APARTMENT,APARTMENT,Knokke-Heist,51.3455499,3.2687307,Zeedijk 673,8300,395000,residential_sale,2,0,52.0,0,False,False,True,0.0,False,0.0,52.0,0.0,0.0,False,as_new,569,Knokke-Heist,West-Vlaanderen,1344241,3813.0,353,,7596.153846153846
10772,10759689,APARTMENT,APARTMENT,Heist-aan-Zee,51.3405922,3.2366374,Zeedijk Heist 273,8301,395000,residential_sale,2,0,60.0,0,True,False,False,0.0,False,0.0,60.0,0.0,2.0,False,as_new,2481,Knokke-Heist,West-Vlaanderen,1344241,3813.0,353,,6583.333333333333
10773,10702959,APARTMENT,APARTMENT,Dikkelvenne,50.9190915,3.6849305,Stationsstraat 76,9890,398000,residential_sale,3,0,238.0,0,False,False,True,0.0,False,0.0,238.0,0.0,0.0,False,good,703,Gavere,Oost-Vlaanderen,1515064,3007.0,504,,1672.268907563025
